Survey,Version,Item Concept,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Field Annotation,Generalized Answer Codes,Registered Tier Rules,Controlled Tier Rules
Basics,,biologicalsexatbirth_sexatbirth,the_basics,,radio,What was your biological sex assigned at birth?,"SexAtBirth_Male, Male | SexAtBirth_Female, Female | SexAtBirth_Intersex, Intersex | SexAtBirth_SexAtBirthNoneOfThese, None of these describe me | PMI_PreferNotToAnswer, Prefer not to answer",,,,,,LV,REGISTERED_ANSWERS_BUCKETED,SexAtBirth_GeneralizedDiffSex,REGISTERED_ANSWERS_BUCKETED,
Basics,,gender_genderidentity,the_basics,,checkbox,What terms best express how you describe your gender identity? (Check all that apply),"GenderIdentity_Man, Man | GenderIdentity_Woman, Woman | GenderIdentity_NonBinary, Non-binary | GenderIdentity_Transgender, Transgender | GenderIdentity_AdditionalOptions, None of these describe me, and I'd like to consider additional options | PMI_PreferNotToAnswer, Prefer not to answer",,,,,,LV," @NONEOFTHEABOVE='PMI_PreferNotToAnswer,GenderIdentity_AdditionalOptions' REGISTERED_ANSWERS_BUCKETED",GenderIdentity_GeneralizedDiffGender,REGISTERED_ANSWERS_BUCKETED,
Basics,,aian_tribe,the_basics,,text,"Provide the name of the tribe in which you are enrolled  or affiliated or your tribal descent. (for example, Navajo Nation, Blackfeet Tribe, Mayan, Aztec, Native Village of Barrow Inupiat Traditional Government, Nome Eskimo Community, etc.)
",,,,,[aian_aianspecific(AIANSpecific_AmericanIndian)] = '1' or [aian_aianspecific(AIANSpecific_AlaskaNative)] = '1' or [aian_aianspecific(AIANSpecific_CentralSouthAmericanIndian)] = '1',,LV,REGISTERED_QUESTION_SUPPRESSED,,REGISTERED_QUESTION_SUPPRESSED,CONTROLLED_QUESTION_SUPPRESSED
Basics,,race_whatraceethnicity,the_basics,,checkbox,"Which categories describe you? Select all that apply. Note, you may select more than one group. ","WhatRaceEthnicity_AIAN, American Indian or Alaska Native (For example: Aztec, Blackfeet Tribe, Mayan, Navajo Nation, Native Village of Barrow Inupiat Traditional Government, Nome Eskimo Community, etc.) | WhatRaceEthnicity_Asian, Asian (For example: Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, etc.) | WhatRaceEthnicity_Black, Black, African American or African (For example: African American, Ethiopian, Haitian, Jamaican, Nigerian, Somali, etc.) | WhatRaceEthnicity_Hispanic, Hispanic, Latino, or Spanish  (For example: Columbian, Cuban, Dominican, Mexican or Mexican American, Puerto Rican, Salvadoran, etc.) | WhatRaceEthnicity_MENA, Middle Eastern or North African (For example: Algerian, Egyptian, Iranian, Lebanese, Moroccan, Syrian, etc.) | WhatRaceEthnicity_NHPI, Native Hawaiian or other Pacific Islander (For example: Chamorro, Fijian, Marshallese, Native Hawaiian, Tongan, etc.) | WhatRaceEthnicity_White, White (For example: English, European, French, German, Irish, Italian, Polish, etc.) | WhatRaceEthnicity_RaceEthnicityNoneOfThese, None of these fully describe me | PMI_PreferNotToAnswer, Prefer not to answer",,,,,,LV," @NONEOFTHEABOVE=PMI_PreferNotToAnswer, REGISTERED_ANSWERS_BUCKETED","WhatRaceEthnicity_GeneralizedPopulation, WhatRaceEthnicity_GeneralizedMultPopulations",,
Basics,,educationlevel_highestgrade,the_basics,,radio,What is the highest grade or year of school you completed?,"HighestGrade_NeverAttended, Never attended school or only attended kindergarten | HighestGrade_OneThroughFour, Grades 1 through 4 (Primary school) | HighestGrade_FiveThroughEight, Grades 5 through 8 (Middle school) | HighestGrade_NineThroughEleven, Grades 9 through 11 (Some high school) | HighestGrade_TwelveOrGED, Grade 12 or GED (High school graduate) | HighestGrade_CollegeOnetoThree, 1 to 3 years after high school (Some college, Associate's Degree, or technical school) | HighestGrade_CollegeGraduate, College 4 years or more (College graduate) | HighestGrade_AdvancedDegree, Advanced degree (Master's, Doctorate, etc.) | PMI_PreferNotToAnswer, Prefer not to answer",,,,,,LV,REGISTERED_ANSWERS_BUCKETED,"HighestGrade_GeneralizedNoHighSchoolDegree, HighestGrade_GeneralizedCollegeAndAbove",REGISTERED_ANSWERS_BUCKETED,
Social Determinants of Health,,sdoh_intro,social_determinants_of_health_english,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Thank you (again) for being a part of the <em> All of Us </em> Research Program. Many things can make us sick or keep us healthy. Where you were born or where you live, go to school, or work can affect your health. These are sometimes referred to as social factors, or the ""social determinants"", of health. </span><span style=""font-weight: normal;"">Help us learn more by completing this survey about your neighborhood, social life, stress, and feelings about your everyday life. This survey will take less than 10 minutes to complete. </span><br /><br /><span style=""font-weight: normal;"">Please answer each question as honestly as possible. It is important that you answer as many questions as you can. We are looking for your own answers, and not what you think your doctors, family, or friends want you to say.</span><br /><br /><span style=""font-weight: normal;"">Don't feel like you have to spend a long time on each question. The first answer that comes to you is usually the best one. If you aren't sure how to answer a question, choose the best answer from the options given. Some of the questions may be sensitive. You can choose not to answer.</span></p></div>",,,,,,,,,,,
Basics,,employment_employmentstatus,the_basics,"The next questions are about your job, income, and where you live.",checkbox,What is your current employment status? Please select 1 or more of these categories.,"EmploymentStatus_EmployedForWages, Employed for wages (part-time or full-time) | EmploymentStatus_SelfEmployed, Self-employed | EmploymentStatus_OutOfWorkOneOrMore, Out of work for 1 year or more | EmploymentStatus_OutOfWorkLessThanOne, Out of work for less than 1 year | EmploymentStatus_Homemaker, A homemaker | EmploymentStatus_Student, A student | EmploymentStatus_Retired, Retired | EmploymentStatus_UnableToWork, Unable to work (disabled) | PMI_PreferNotToAnswer, Prefer not to answer",,,,,,LV,@NONEOFTHEABOVE=PMI_PreferNotToAnswer REGISTERED_ANSWERS_BUCKETED,"EmploymentStatus_GeneralizedEmployed, EmploymentStatus_GeneralizedNotEmployed",REGISTERED_ANSWERS_BUCKETED,
Basics,,maritalstatus_currentmaritalstatus,the_basics,,radio,What is your current marital status?,"CurrentMaritalStatus_Married, Married | CurrentMaritalStatus_Divorced, Divorced | CurrentMaritalStatus_Widowed, Widowed | CurrentMaritalStatus_Separated, Separated | CurrentMaritalStatus_NeverMarried, Never married | CurrentMaritalStatus_LivingWithPartner, Living with partner | PMI_PreferNotToAnswer, Prefer not to answer",,,,,,LV,,,,
Basics,,insurance_healthinsurance,the_basics,The next questions are about health insurance. Include health insurance obtained through employment or purchased directly as well as government programs like Medicare and Medicaid that provide medical care or help pay medical bills.,radio,Are you covered by health insurance or some other kind of health care plan?,"HealthInsurance_Yes, Yes | HealthInsurance_No, No | PMI_PreferNotToAnswer, Prefer not to answer | PMI_Dontknow, Don't know",,,,,,LV,,,,
Healthcare Access and Utilizati,,healthadvice_spokentophysicaltherapist,healthcare_access_and_utilization,,radio,"A physical therapist, speech therapist, respiratory therapist, audiologist, or occupational therapist?","SpokenToPhysicalTherapist_Yes, Yes | SpokenToPhysicalTherapist_No, No | PMI_Dontknow, Don't know",,,,[healthadvice_spokentoprofessional] = 'SpokenToProfessional_6moOrLess' or [healthadvice_spokentoprofessional] = 'SpokenToProfessional_6MoTo1YearAgo' or [healthadvice_spokentoprofessional] = 'PMI_Dontknow',,LV,,,,
Lifestyle,,smoking_100cigslifetime,lifestyle,,radio,Have you smoked at least 100 cigarettes in your entire life? (There are 20 cigarettes in a pack.),"100CigsLifetime_Yes, Yes | 100CigsLifetime_No, No | PMI_DontKnow, Don't know | PMI_PreferNotToAnswer, Prefer not to answer",,,,,,LV,,,,
COPE,"May, June, July",lifestyle_2_xx13,covid19_participant_experience_cope_survey,,radio,"In the past month:
 Did you use any type of electronic nicotine product? This includes e- cigarettes, vape pens, hookah pens, personal vaporizers and mods, e-cigars, e-pipes, and e-hookahs.","COPE_A_197, Yes, every day | COPE_A_169, Yes, some days | COPE_A_94, Not currently, but in the past | COPE_A_131, No, never",,,,,,LV,,,,
Lifestyle,,alcohol_alcoholparticipant,lifestyle,"Thanks for your answers. The next questions are about drinking alcohol. This includes coolers, beer, wine, champagne, liquor such as whiskey, rum, gin, vodka, scotch, or liqueurs, and also any other type of alcohol. This will help researchers better understand how alcohol affects health. As always, your answers are private. ",radio,"In your entire life, have you had at least 1 drink of any kind of alcohol, not counting small tastes or sips? (By a ""drink,"" we mean a can or bottle of beer, a glass of wine or a wine cooler, a shot of liquor, or a mixed drink with liquor in it.) ","AlcoholParticipant_Yes, Yes | AlcoholParticipant_No, No | PMI_PreferNotToAnswer, Prefer not to answer",,,,,,LV,,,,
COPE,"May, June, July",cope_a_160,covid19_participant_experience_cope_survey,,text,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Hours per day</span></p></div>",,number,0,24,[ipaq_7] = 'COPE_A_213',,LV,,,,
Family Health History,,circulatorycondition_highbloodpressure_yes,family_health_history,,checkbox,Who in your family has had high blood pressure (hypertension)? Select all that apply.,"MotherCirculatoryCondition_HighBloodPressure, Mother | FatherCirculatoryCondition_HighBloodPressure, Father | SiblingCirculatoryCondition_HighBloodPressure, Sibling | DaughterCirculatoryCondition_HighBloodPressure, Daughter | SonCirculatoryCondition_HighBloodPressure, Son | GrandparentCirculatoryCondition_HighBloodPressure, Grandparent",,,,[diagnosedhealthcondition_circulatorycondition(CirculatoryCondition_HighBloodPressure)] = '1',,,,,,
Family Health History,,endocrinecondition_type1diabetes_yes,family_health_history,,checkbox,Who in your family has had type 1 diabetes? Select all that apply.,"MotherEndocrineCondition_Type1Diabetes, Mother | FatherEndocrineCondition_Type1Diabetes, Father | SiblingEndocrineCondition_Type1Diabetes, Sibling | DaughterEndocrineCondition_Type1Diabetes, Daughter | SonEndocrineCondition_Type1Diabetes, Son | GrandparentEndocrineCondition_Type1Diabetes, Grandparent",,,,[diagnosedhealthcondition_endocrinecondition(EndocrineCondition_Type1Diabetes)] = '1',,,,,,
Family Health History,,circulatorycondition_highcholesterol_yes,family_health_history,,checkbox,Who in your family has had high cholesterol? Select all that apply.,"MotherCirculatoryCondition_HighCholesterol, Mother | FatherCirculatoryCondition_HighCholesterol, Father | SiblingCirculatoryCondition_HighCholesterol, Sibling | DaughterCirculatoryCondition_HighCholesterol, Daughter | SonCirculatoryCondition_HighCholesterol, Son | GrandparentCirculatoryCondition_HighCholesterol, Grandparent",,,,[diagnosedhealthcondition_circulatorycondition(CirculatoryCondition_HighCholesterol)] = '1',,,,,,
Overall Health,,organtransplant_hearttransplantdate,overall_health,,text,Date of heart transplant:,,date_mdy,,,[organtransplant_organtransplantdescription(OrganTransplantDescription_Heart)] = '1',,LV,REGISTERED_DATE_SHIFTED,,REGISTERED_DATE_SHIFTED,
Family Health History,,circulatorycondition_stroke_yes,family_health_history,,checkbox,Who in your family has had a stroke? Select all that apply.,"MotherCirculatoryCondition_Stroke, Mother | FatherCirculatoryCondition_Stroke, Father | SiblingCirculatoryCondition_Stroke, Sibling | DaughterCirculatoryCondition_Stroke, Daughter | SonCirculatoryCondition_Stroke, Son | GrandparentCirculatoryCondition_Stroke, Grandparent",,,,[diagnosedhealthcondition_circulatorycondition(CirculatoryCondition_Stroke)] = '1',,,,,,
Family Health History,,diagnosedhealthcondition_cancercondition,family_health_history,Cancer Conditions,checkbox,Has anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply.,"CancerCondition_BladderCancer, Bladder cancer | CancerCondition_BoneCancer, Bone cancer | CancerCondition_BloodCancer, Blood or soft tissue cancer | CancerCondition_BrainCancer, Brain cancer | CancerCondition_BreastCancer, Breast cancer | CancerCondition_CervicalCancer, Cervical cancer | CancerCondition_ColonRectalCancer, Colon cancer/Rectal cancer | CancerCondition_EndocrineCancer, Endocrine cancer | CancerCondition_EndometrialCancer, Endometrial cancer | CancerCondition_EsophagealCancer, Esophageal cancer | CancerCondition_EyeCancer, Eye cancer | CancerCondition_HeadNeckCancer, Head and neck cancer (This includes cancers of the mouth, sinuses, nose, or throat. This does not include brain cancer.) | CancerCondition_KidneyCancer, Kidney cancer | CancerCondition_LungCancer, Lung cancer | CancerCondition_OvarianCancer, Ovarian cancer | CancerCondition_PancreaticCancer, Pancreatic cancer | CancerCondition_ProstateCancer, Prostate cancer | CancerCondition_SkinCancer, Skin cancer | CancerCondition_StomachCancer, Stomach cancer | CancerCondition_ThyroidCancer, Thyroid cancer | CancerCondition_OtherCancer, Other cancer | PMI_None, None of the above | PMI_DontKnow, Don't know | PMI_PreferNotToAnswer, Prefer not to answer",,,,,,," @NONEOFTHEABOVE='PMI_None,PMI_DontKnow,PMI_PreferNotToAnswer'",,,
Family Health History,,respiratorycondition_asthma_yes,family_health_history,,checkbox,Who in your family has had asthma? Select all that apply.,"MotherRespiratoryCondition_Asthma, Mother | FatherRespiratoryCondition_Asthma, Father | SiblingRespiratoryCondition_Asthma, Sibling | DaughterRespiratoryCondition_Asthma, Daughter | SonRespiratoryCondition_Asthma, Son | GrandparentRespiratoryCondition_Asthma, Grandparent",,,,[diagnosedhealthcondition_respiratorycondition(RespiratoryCondition_Asthma)] = '1',,,,,,
Overall Health,,overallhealth_emotionalproblem7days,overall_health,,radio,"In the past 7 days, how often have you been bothered by emotional problems such as feeling anxious, depressed, or irritable?","EmotionalProblem7Days_Never, Never | EmotionalProblem7Days_Rarely, Rarely | EmotionalProblem7Days_Sometimes, Sometimes | EmotionalProblem7Days_Often, Often | EmotionalProblem7Days_Always, Always",,,,,,LV,,,,
Family Health History,,mentalcondition_anxietypanic_yes,family_health_history,,checkbox,Who in your family has had anxiety reaction/panic disorder? Select all that apply.,"MotherMentalCondition_AnxietyPanic, Mother | FatherMentalCondition_AnxietyPanic, Father | SiblingMentalCondition_AnxietyPanic, Sibling | DaughterMentalCondition_AnxietyPanic, Daughter | SonMentalCondition_AnxietyPanic, Son | GrandparentMentalCondition_AnxietyPanic, Grandparent",,,,[diagnosedhealthcondition_mentalcondition(MentalCondition_AnxietyPanic)] = '1',,,,,,
Overall Health,,overallhealth_generalmentalhealth,overall_health,,radio,"In general, how would you rate your mental health, including your mood and your ability to think? ","GeneralMentalHealth_Excellent, Excellent | GeneralMentalHealth_VeryGood, Very Good | GeneralMentalHealth_Good, Good | GeneralMentalHealth_Fair, Fair | GeneralMentalHealth_Poor, Poor",,,,,,LV,,,,
Lifestyle,,past3monthusefrequency_sedative3monthuse,lifestyle,,radio,"In the PAST THREE MONTHS, how often have you used sedatives or sleeping pills for non-medical reasons (Valium, Serepax, Ativan, Xanax, Librium, Rohypnol, GHB, etc.)?","Sedative3MonthUse_Never, Never | Sedative3MonthUse_OnceOrTwice, Once or twice | Sedative3MonthUse_Monthly, Monthly | Sedative3MonthUse_Weekly, Weekly | Sedative3MonthUse_Daily, Daily or almost daily | PMI_PreferNotToAnswer, Prefer not to answer",,,,[recreationaldruguse_whichdrugsused(WhichDrugsUsed_SedativesUse)] = '1',,LV,,,,
COPE,"May, June, July",ipaq_1,covid19_participant_experience_cope_survey,"Physical Activity
 
 Next, we ask you questions about your physical activity in the last 7 days.",radio,"Think about all the vigorous activities that you did in the last 7 days. Vigorous physical activities refer to activities that take hard physical effort and make you breathe much harder than normal. Think only about those physical activities that you did for at least 10 minutes at a time.
 
 During the last 7 days, did you do vigorous physical activities like heavy lifting, digging, aerobics, or fast bicycling?","COPE_A_44, Yes | COPE_A_13, No",,,,,,LV,,,,
COPE,"May, June, July",ipaq_5,covid19_participant_experience_cope_survey,,radio,"Think about the time you spent walking in the last 7 days. This includes at work and at home, walking to travel from place to place, and any other walking that you have done solely for recreation, sport, exercise, or leisure.
 
 During the last 7 days, did you walk for at least 10 minutes at a time?","COPE_A_44, Yes | COPE_A_13, No",,,,,,LV,,,,
Basics,,disability_deaf,the_basics,"The next questions ask if you have a disability. Some questions will ask you about more than one disability at a time. Please answer ""Yes"" if you have any one of them.

Info button text: In 1990, Congress passed a civil rights law to protect people with disabilities. The name of that law is the ADA (Americans with Disabilities Act). Having a disability means you might have a physical or mental problem. That problem might make it hard to do certain things. You might have a problem with: walking, breathing, learning, reading, communicating, seeing, hearing, or thinking.)",radio,Are you deaf or do you have serious difficulty hearing?,"Deaf_Yes, Yes | Deaf_No, No | Deaf_PreferNotToAnswer, Prefer not to answer",,,,,,,,,,
Lifestyle,,past3monthusefrequency_prescriptionstimulant3monthuse,lifestyle,,radio,"In the PAST THREE MONTHS, how often have you used prescription stimulants for non-medical reasons (Vyvanse, Ritalin, Concerta, Dexedrine, Adderall, diet pills, etc.)","PrescriptionStimulant3MonthUse_Never, Never | PrescriptionStimulant3MonthUse_OnceOrTwice, Once or twice | PrescriptionStimulant3MonthUse_Monthly, Monthly | PrescriptionStimulant3MonthUse_Weekly, Weekly | PrescriptionStimulant3MonthUse_Daily, Daily or almost daily | PMI_PreferNotToAnswer, Prefer not to answer",,,,[recreationaldruguse_whichdrugsused(WhichDrugsUsed_PrescriptionStimulantsUse)] = '1',,LV,past3monthusefrequency_prescriptionstimulant3monthuse=Past3MonthUseFrequency_Stimulant3MonthUse,,,
Lifestyle,,recreationaldruguse_whichdrugsused,lifestyle,"Thanks for your answers. Now we'd like to ask you about your experiences with medicines and other kinds of drugs. Some of the substances we'll talk about are prescribed by a doctor (like pain medications). We only want to know if you have taken them for reasons or in doses other than prescribed. We understand that these are sensitive questions. You may choose not to answer them. However, by providing answers, you are helping researchers better understand how these substances affect health.",checkbox,"In your LIFETIME, which of the following substances have you ever used?","WhichDrugsUsed_MarijuanaUse, Marijuana (cannabis, pot, grass, hash, weed, etc.) | WhichDrugsUsed_CocaineUse, Cocaine (coke, crack, etc.) | WhichDrugsUsed_PrescriptionStimulantsUse, Prescription stimulants for non-medical reasons (Ritalin, Concerta, Dexedrine, Adderall, diet pills, etc.) | WhichDrugsUsed_MethamphetamineUse, Other stimulants (methamphetamine, speed, crystal meth, ice, k2/spice, bath salts, etc.) | WhichDrugsUsed_InhalantsUse, Inhalants (nitrous oxide, glue, gas, paint thinner, etc.) | WhichDrugsUsed_SedativesUse, Sedatives or sleeping pills for non-medical reasons (Valium, Serepax, Ativan, Xanax, Librium, Rohypnol, GHB, etc.) | WhichDrugsUsed_HallucinogensUse, Hallucinogens (LSD, acid, mushrooms, PCP, Special K, ecstasy, etc.) | WhichDrugsUsed_StreetOpioidsUse, Street opioids (heroin, opium, etc.) | WhichDrugsUsed_PrescriptionOpioidsUse, Prescription opioids for non-medical reasons (fentanyl, oxycodone [OxyContin, Percocet], hydrocodone [Vicodin], methadone, buprenorphine, etc.) | WhichDrugsUsed_NoneOfTheseDrugs, None of these drugs | PMI_PreferNotToAnswer, Prefer not to answer | WhichDrugsUsed_OtherSpecify, Other (Specify)",,,,,,LV," @NONEOFTHEABOVE='WhichDrugsUsed_NoneOfTheseDrugs,PMI_PreferNotToAnswer'",,,
Healthcare Access and Utilizati,,cantaffordcare_healthcareprovider,healthcare_access_and_utilization,,radio,"To see a regular doctor or general health provider (in primary care, general practice, internal medicine, family medicine)","HealthcareProvider_Yes, Yes | HealthcareProvider_No, No | PMI_Dontknow, Don't know",,,,,,LV,,,,
Overall Health,,overallhealth,overall_health,,descriptive,Overall Health,,,,,,,,,,,
Basics,,disability_blind,the_basics,,radio,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?","Blind_Yes, Yes | Blind_No, No | Blind_PreferNotToAnswer, Prefer not to answer",,,,,,,,,,
Personal Medical History,,circulatory_rxmedsforanemia,personal_medical_history,,radio,Are you currently prescribed medications and/or receiving treatment for anemia?,"RxMedsforAnemia_Yes, Yes | RxMedsforAnemia_No, No",,,,[circulatory_circulatoryconditions(CirculatoryConditions_Anemia)] = '1',,,,,,
Basics,,sexatbirthnoneofthese_sexatbirthtextbox,the_basics,,text,Please specify.,,,,,[biologicalsexatbirth_sexatbirth] = 'SexAtBirth_SexAtBirthNoneOfThese',,LV,REGISTERED_QUESTION_SUPPRESSED,,REGISTERED_QUESTION_SUPPRESSED,CONTROLLED_QUESTION_SUPPRESSED
Basics,,gender_closergenderdescription,the_basics,,checkbox,Are any of these a closer description to your gender identity? (Check all that apply),"CloserGenderDescription_TransMan, Trans man/Transgender Man/FTM | CloserGenderDescription_TransWoman, Trans woman/Transgender Woman/MTF | CloserGenderDescription_Genderqueer, Genderqueer | CloserGenderDescription_Genderfluid, Genderfluid | CloserGenderDescription_GenderVariant, Gender variant | SexualityCloserDescription_TwoSpirit, Two-spirit | CloserGenderDescription_Unsure, Questioning or unsure of your gender identity | CloserGenderDescription_SpecifiedGender, None of these describe me, and I want to specify",,,,[gender_genderidentity(GenderIdentity_NonBinary)] = '1' or [gender_genderidentity(GenderIdentity_Transgender)] = '1' or [gender_genderidentity(GenderIdentity_AdditionalOptions)] = '1',,LV,@NONEOFTHEABOVE=CloserGenderDescription_SpecifiedGender REGISTERED_QUESTION_SUPPRESSED,,REGISTERED_QUESTION_SUPPRESSED,
Basics,,livingsituation_peopleunder18,the_basics,,text,Think of other people who live with you. How many are under the age of 18 years?,,integer,1,20,[livingsituation_howmanypeople] > '0',,LV,REGISTERED_ANSWERS_BUCKETED,Generalized above 5,REGISTERED_ANSWERS_BUCKETED,CONTROLLED_ANSWERS_BUCKETED
Basics,,whatraceethnicity_raceethnicitynoneofthese,the_basics,,text,Please specify.,,,,,[race_whatraceethnicity(WhatRaceEthnicity_RaceEthnicityNoneOfThese)] = '1',,LV,REGISTERED_QUESTION_SUPPRESSED,,REGISTERED_QUESTION_SUPPRESSED,CONTROLLED_QUESTION_SUPPRESSED
COPE,"November, December, February",rand_alp_csq_1,november_covid19_participant_experience_cope_surve,"COVID-19 Related Impact
 
 The following questions ask about the social and financial impact of COVID-19 on your life during the past month. Please choose the answer that best applies to your situation.",radio,"Do you have a child that is currently enrolled in childcare centers, schools, or colleges?","COPE_A_44, Yes | COPE_A_13, No",,,,,,LV,,,,
COPE,"May, June, July",basics_8,covid19_participant_experience_cope_survey,,radio,What is your current marital status?,"COPE_A_116, Married | COPE_A_133, Divorced | COPE_A_58, Widowed | COPE_A_177, Separated | COPE_A_163, Never married | COPE_A_104, Living with partner | COPE_A_30, Prefer not to answer",,,,,,LV,,,,
Basics,,employment_employmentworkaddress,the_basics,,radio,"Sharing where you work may help us learn about how the environment affects health. Sharing your work address is your choice. You can say no and still take part in the program. 

What is your work street address?","employment_employmentworkaddress, Enter address | PMI_PreferNotToAnswer, Prefer not to answer",,,,[employment_employmentstatus(EmploymentStatus_EmployedForWages)] = '1' or [employment_employmentstatus(EmploymentStatus_SelfEmployed)] = '1',,LV,REGISTERED_QUESTION_SUPPRESSED,,REGISTERED_QUESTION_SUPPRESSED,CONTROLLED_QUESTION_SUPPRESSED
