variable_name,dataset,description,data_type,units,value_encoding,n_codes,dbgap_variable_id,dbgap_study
shbg1,MESA_AncilMesaSexHormone,SEX HORMONE BINDING GLOBULIN,NUMERIC,nmoI/L,,,phv00090187.v2,phs000209.v13
gender1,MESA_AirNRExam5Main,GENDER,NUMERIC,,0=FEMALE|1=MALE,2,phv00174586.v1,phs000209.v13
age5,MESA_AirNRExam5Main,Q3) HOW OLD ARE YOU?,NUMERIC,,0=MISSED BY >3 YEARS|1=MISSED BY 1-3 YEARS|2=CORRECT|9=NOT ATT/DISABLED,4,phv00174655.v1,phs000209.v13
race1c,MESA_AirNRExam5Main,RACE / ETHNICITY,NUMERIC,,"1=WHITE, CAUCASIAN|2=CHINESE AMERICAN|3=BLACK, AFRICAN-AMERICAN|4=HISPANIC",4,phv00174585.v1,phs000209.v13
educ1,MESA_AirNRExamMain,EDUCATION: HIGHEST LEVEL COMPLETED,NUMERIC,,0=NO SCHOOLING|1=GRADES 1-8|2=GRADES 9-11|3=COMPLETED HIGH SCHOOL/GED|4=SOME COLLEGE BUT NO DEGREE|5=TECHNICAL SCHOOL CERTIFICATE|6=ASSOCIATE DEGREE|7=BACHELOR'S DEGREE|8=GRADUATE OR PROFESSIONAL SCHOOL,9,phv00083223.v1,phs000209.v13
naschl1,MESA_AirNRExamMain,"SCHOOLS, COLLEGES, OR COMMUNITY CENTERS WITH RECREATIONAL FACILITIES FREE AND OPEN TO PUBLIC",NUMERIC,,0=NO|1=YES|9=DO NOT KNOW/UNKNOWN,3,phv00083183.v1,phs000209.v13
kdstrel5,MESA_AirNRExam5Main,KIDNEY STONE: FIRST DEGREE RELATIVES HAVING STONES,NUMERIC,,0=NO|1=YES|9=DO NOT KNOW / UNKNOWN,3,phv00175311.v1,phs000209.v13
income5,MESA_AirNRExam5Main,TOTAL GROSS FAMILY INCOME,NUMERIC,,"1=< $5000|2=$5000 - $7999|3=$8000 - $11999|4=$12000 - $15999|5=$16000 - $19999|6=$20000 - $24999|7=$25000 - $29999|8=$30000 - $34999|9=$35000 - $39999|10=$40000 - $49999|11=$50000 - $74999|12=$75000 - $99999|13=$100,000 - $124,999|14=$125,000 - $149,999|15=$150,000 OR MORE",15,phv00175446.v1,phs000209.v13
marital5,MESA_AirNRExam5Main,MARITAL STATUS,NUMERIC,,1=MARRIED / LIVING WITH PARTNER|2=WIDOWED|3=DIVORCED|4=SEPARATED|5=NEVER MARRIED|6=PREFER NOT TO ANSWER,6,phv00175227.v1,phs000209.v13
curmar3,MESA_Exam3Main,ARE YOU CURRENTLY MARRIED OR LIVING WITH A PARTNER?,NUMERIC,,0=NO|1=YES,2,phv00086331.v2,phs000209.v13
empstat5,MESA_AirNRExam5Main,EMPLOYMENT STATUS AT EXAM 5,NUMERIC,,0=NO|1=YES,2,phv00175413.v1,phs000209.v13
curjob5,MESA_AirNRExam5Main,CURRENT OCCUPATION,NUMERIC,,1=HOMEMAKER|2=EMPLOYED FULL TIME|3=EMPLOYED PART TIME|4=EMPLOYED ON-LEAVE (HEALTH)|5=EMPLOYED ON-LEAVE (NON-HEALTH)|6=UNEMPLOYED < 6 MONTHS|7=UNEMPLOYED > 6 MONTHS|8=RETIRED NOT WORKING|9=RETIRED WORKING|10=RETIRED VOLUNTEERING,10,phv00175414.v1,phs000209.v13
avcday5,MESA_AirNRExam5Main,CIGARETTES SMOKED PER DAY,NUMERIC,,,,phv00175429.v1,phs000209.v13
qsmkdya4,MESA_AirNRSpirometry,CIGARETTES PER DAY,NUMERIC,,,,phv00083578.v1,phs000209.v13
chew1,MESA_AirNRExamMain,CHEWED TOBACCO AT LEAST 20 TIMES IN LIFETIME,NUMERIC,,0=NO|1=YES,2,phv00083264.v1,phs000209.v13
curalc5,MESA_AirNRExam5Main,PRESENTLY DRINK ALCOHOL,NUMERIC,,0=NO|1=YES,2,phv00175423.v1,phs000209.v13
liqwk5,MESA_AirNRExam5Main,LIQUOR OR MIXED DRINKS PER WEEK,NUMERIC,,,,phv00175427.v1,phs000209.v13
htcm5,MESA_AirNRExam5Main,HEIGHT (cm),NUMERIC,cm,,,phv00174630.v1,phs000209.v13
bcswtkg5,MESA_AirNRExam5Main,BODY COMPOSITION SCALE: CURRENT BODY WEIGHT (kg),NUMERIC,kg,,,phv00174637.v1,phs000209.v13
bmi5c,MESA_AirNRExam5Main,BODY MASS INDEX (kg/m^2),NUMERIC,kg/m^2,,,phv00174644.v1,phs000209.v13
ctbmi5,MESA_AirNRExam5Main,BMI AT CT,NUMERIC,,,,phv00174746.v1,phs000209.v13
waistcm5,MESA_AirNRExam5Main,WAIST CIRCUMFERENCE (cm),NUMERIC,cm,,,phv00174634.v1,phs000209.v13
dbp5c,MESA_AirNRExam5Main,SEATED DIASTOLIC BLOOD PRESSURE (mmHg),NUMERIC,mmHg,,,phv00175602.v1,phs000209.v13
s1bp5,MESA_AirNRExam5Main,SEATED BP: SYSTOLIC 1ST READING (mmHg),NUMERIC,mmHg,,,phv00175587.v1,phs000209.v13
d1bp5,MESA_AirNRExam5Main,SEATED BP: DIASTOLIC 1ST READING (mmHg),NUMERIC,mmHg,,,phv00175588.v1,phs000209.v13
htn5c,MESA_AirNRExam5Main,"HYPERTENSION BY JNC VI (1997) CRITERIA, EXAM 5",NUMERIC,,0=NO|1=YES,2,phv00174605.v1,phs000209.v13
dbhxtyp5,MESA_AirNRExam5Main,DIABETES: TYPE OF MEDICATION,NUMERIC,,1=PILLS|2=INSULIN|3=INSULIN AND PILLS|4=OTHER INJECTIONS,4,phv00175293.v1,phs000209.v13
gluccmt5,MESA_AirNRExam5Main,FASTING GLUCOSE LAB COMMENTS,STRING,,,,phv00175247.v1,phs000209.v13
chlcat5c,MESA_AirNRExam5Main,"TOTAL CHOLESTEROL, NCEP CATEGORIES",NUMERIC,,"1=DESIRABLE, <200|2=BORDERLINE HIGH, 200 - 239|3=HIGH, 240+",3,phv00175253.v1,phs000209.v13
atrialrt5,MESA_AirNRExam5Main,"HEART RATE, ATRIAL",NUMERIC,,,,phv00174882.v1,phs000209.v13
rvsv1,MESA_AncilMesaRVFunction,PHASE 1: RV STROKE VOLUME (mL),NUMERIC,mL,,,phv00160631.v1,phs000209.v13
bloodcn1,MESA_AirNRExamMain,BLOOD CANCER,NUMERIC,,0=NO|1=YES|9=DO NOT KNOW,3,phv00082983.v1,phs000209.v13
asthma5,MESA_AirNRExam5Main,ASTHMA: SELF-REPORT,NUMERIC,,0=NO|1=YES|9=DO NOT KNOW / UNKNOWN,3,phv00175295.v1,phs000209.v13
cesd5c,MESA_AirNRExam5Main,"CES-D CENTER FOR EPIDEMIOLOGICAL STUDIES, DEPRESSION SCALE",NUMERIC,,,,phv00175236.v1,phs000209.v13
splanx1c,MESA_Exam1Main,SPIELBERGER TRAIT ANXIETY SCALE,NUMERIC,,,,phv00084792.v2,phs000209.v13
badslp5,MESA_AirNRExam5Main,SLEEP WAS RESTLESS,NUMERIC,,1=RARELY OR NONE OF THE TIME|2=SOME OR LITTLE OF THE TIME|3=MODERATE AMOUNT OF TIME|4=MOST OF THE TIME,4,phv00175217.v1,phs000209.v13
pamcm5c,MESA_AirNRExam5Main,MODERATE PHYSICAL ACTIVITY TOTAL (MET-MIN/WK M-SU),NUMERIC,MET-Min/Wk,,,phv00175581.v1,phs000209.v13
exercm5c,MESA_AirNRExam5Main,TOTAL INTENTIONAL EXERCISE (Q9-15) MET (MIN/WK),NUMERIC,Min/Wk,,,phv00175579.v1,phs000209.v13
hilwalk5,MESA_AirNRExam5Main,MORE BREATHLESS WALKING UP HILLS OR STEPS,NUMERIC,,0=NO|1=YES|9=DO NOT KNOW / UNKNOWN,3,phv00175259.v1,phs000209.v13
dash_sodium1,MESA_AncilMesaNeighborScalesSodiumExam1,DASH Diet score including sodium (0-9 points),Numeric,,,,phv00196370.v1,phs000209.v13
nfruit5,MESA_AirNRExam5Main,LARGE SELECTION OF FRESH FRUITS/VEGETABLES IS AVAILABLE IN NEIGHBORHOOD,NUMERIC,,1=STRONGLY AGREE|2=AGREE|3=NEUTRAL|4=DISAGREE|5=STRONGLY DISAGREE,5,phv00175194.v1,phs000209.v13
fgvcrucifer5c,MESA_exam5dietnutrients,FOOD GROUP 22 : CRUCIFEROUS VEGETABLES,NUMERIC,,,,phv00218788.v1,phs000209.v13
lpcalf5,MESA_AirNRExam5Main,PAIN OCCURS IN WHAT PORTION OF LEG,NUMERIC,,1=PAIN INCLUDES CALF / CALVES|2=PAIN DOES NOT INCLUDE CALF / CALVES,2,phv00175263.v1,phs000209.v13
apsy5c,MESA_AirNRExam5Main,ANTI-PSYCHOTIC MEDICATIONS,NUMERIC,,0=NO|1=YES,2,phv00175341.v1,phs000209.v13
ESP_sex_selfreport,MESA_ESP_HeartGO_Subject_Phenotypes,Values: Male; Female,String,,=Female|=Male,2,phv00178026.v1,phs000403.v3
cacq1c,MESA_Exam1Main,"AGE, GENDER, RACE-ADJUSTED QUANTILES OF CAC SCORE (MCCLELLAND, CIRCULATION 2006), BETWEEN PRCACGT0 AND 1",NUMERIC,,,,phv00084542.v2,phs000209.v13
age5c,MESA_AirNRExam5Main,AGE AT EXAM 5,NUMERIC,years,,,phv00174588.v1,phs000209.v13
racegrp,MESA_AncilMesaLungA1AT,RACE GROUP,String,,,,phv00175967.v1,phs000209.v13
educ_minhs1,MESA_AncilMesaNeighborScalesExam1,% 25+ with minimum High School education,Numeric,,,,phv00218174.v1,phs000209.v13
educf,MESA_FamilyExamMain,HIGHEST DEGREE OR LEVEL OF SCHOOL COMPLETED,NUMERIC,,0=NO SCHOOLING|1=GRADES 1-8|2=GRADES 9-11|3=COMPLETED HIGH SCHOOL/GED|4=SOME COLLEGE BUT NO DEGREE|5=TECHNICAL SCHOOL CERTIFICATE|6=ASSOCIATE DEGREE|7=BACHELOR'S DEGREE|8=GRADUATE OR PROFESSIONAL SCHOOL,9,phv00087235.v1,phs000209.v13
major7a5,MESA_AirNRExam5Main,ONE OF THE FOLLOWING: MOBITZ TYPE II <OR> PARTIAL (SECOND DEGREE) A-V BLOCK <OR> WENCKEBACH'S PHENOMENON <OR> COMPLETE (THIRD DEGREE) A-V BLOCK,STRING,,,,phv00175082.v1,phs000209.v13
nhhldc5,MESA_AirNRExam5Main,# CHILDREN SUPPORTED BY FAMILY INCOME,NUMERIC,,,,phv00175448.v1,phs000209.v13
marital1,MESA_AirNRExamMain,MARITAL STATUS,NUMERIC,,1=MARRIED/LIVING AS MARRIED|2=WIDOWED|3=DIVORCED|4=SEPARATED|5=NEVER MARRIED|6=PREFER NOT TO ANSWER,6,phv00083222.v1,phs000209.v13
curmar4,MESA_Exam4Main,ARE YOU CURRENTLY MARRIED OR LIVING WITH A PARTNER?,NUMERIC,,0=NO|1=YES,2,phv00086817.v2,phs000209.v13
lempla4,MESA_AirNRSpirometry,EMPLOYMENT STATUS,NUMERIC,,"1=HOMEMAKER|2=FULL TIME JOB|3=PART TIME JOB|4=EMPLOYED BUT ON LEAVE FOR HEALTH REASONS|5=EMPLOYED BUT ON LEAVE FOR OTHER REASONS|6=UNEMPLOYED < 6 MONTHS|7=UNEMPLOYED > 6 MONTHS|8=RETIRED, NOT WORKING|9=RETIRED BUT WORKING|10=RETIRED BUT VOLUNTEERING",10,phv00083490.v1,phs000209.v13
curjob1,MESA_AirNRExamMain,CURRENT OCCUPATION,NUMERIC,,1=HOMEMAKER|2=EMPLOYED FULL TIME|3=EMPLOYED PART TIME|4=EMPLOYED ON-LEAVE (HEALTH)|5=EMPLOYED ON-LEAVE (NON-HEALTH)|6=UNEMPLOYED < 6 MONTHS|7=UNEMPLOYED > 6 MONTHS|8=RETIRED NOT WORKING|9=RETIRED WORKING|10=RETIRED VOLUNTEERING,10,phv00083224.v1,phs000209.v13
avcinh5,MESA_AirNRExam5Main,INHALED CIGARETTE SMOKE,NUMERIC,,0=NOT AT ALL|1=SLIGHTLY|2=MODERATELY|3=DEEPLY,4,phv00175430.v1,phs000209.v13
qsmkhra4,MESA_AirNRSpirometry,HOURS BEFORE 1ST CIGARETTE,NUMERIC,,,,phv00083579.v1,phs000209.v13
chew1c,MESA_AirNRExamMain,CHEWING TOBACCO USE,NUMERIC,,0=NEVER|1=FORMER|2=CURRENT,3,phv00083262.v1,phs000209.v13
alc1c,MESA_AirNRExamMain,ALCOHOL USE,NUMERIC,,0=NEVER|1=FORMER|2=CURRENT,3,phv00083277.v1,phs000209.v13
alc24hr1,MESA_AirNRExamMain,DRINKS IN PAST 24 HOURS (CURRENT DRINKERS),NUMERIC,,,,phv00083295.v1,phs000209.v13
htmodp5,MESA_AirNRExam5Main,"HEIGHT, PROTOCOL MODIFICATION?",NUMERIC,,0=NO|1=YES,2,phv00174631.v1,phs000209.v13
ctwtlb5,MESA_AirNRExam5Main,WEIGHT AT CT,NUMERIC,lbs,,,phv00174745.v1,phs000209.v13
bmicat5c,MESA_AirNRExam5Main,"BODY MASS INDEX, WHO CATEGORIES",NUMERIC,,1=NORMAL|2=GRADE 1 OVERWEIGHT|3=GRADE 2 OVERWEIGHT|4=GRADE 3 OVERWEIGHT,4,phv00174645.v1,phs000209.v13
lbmia4,MESA_AirNRSpirometry,BMI,NUMERIC,,,,phv00083481.v2,phs000209.v13
waistcm1,MESA_AirNRExamMain,WAIST CIRCUMFERENCE (cm),NUMERIC,cm,,,phv00082687.v1,phs000209.v13
sbp5c,MESA_AirNRExam5Main,SEATED SYSTOLIC BLOOD PRESSURE (mmHg),NUMERIC,mmHg,,,phv00175601.v1,phs000209.v13
s2bp5,MESA_AirNRExam5Main,SEATED BP: SYSTOLIC 2ND READING (mmHg),NUMERIC,mmHg,,,phv00175591.v1,phs000209.v13
d2bp5,MESA_AirNRExam5Main,SEATED BP: DIASTOLIC 2ND READING (mmHg),NUMERIC,mmHg,,,phv00175592.v1,phs000209.v13
htnmed5c,MESA_AirNRExam5Main,ANY HYPERTENSION MEDICATION,NUMERIC,,0=NO|1=YES,2,phv00175410.v1,phs000209.v13
diab5,MESA_AirNRExam5Main,DIABETES: DEVELOPED SINCE LAST MESA VISIT,NUMERIC,,0=NO|1=YES|9=DO NOT KNOW / UNKNOWN,3,phv00175291.v1,phs000209.v13
glucose5,MESA_AirNRExam5Main,FASTING GLUCOSE (mg/dl),NUMERIC,mg/dl,,,phv00175240.v1,phs000209.v13
chol5,MESA_AirNRExam5Main,TOTAL CHOLESTEROL (mg/dl),NUMERIC,mg/dl,,,phv00175242.v1,phs000209.v13
ecgnum5,MESA_AirNRExam5Main,TOTAL # ECGS USED IN HEART RATE VARIABILITY ANALYSIS / BASELINE SEQ ID OF COMPAR REC FOR SERIAL ANALYSIS,NUMERIC,,,,phv00175115.v1,phs000209.v13
rvsv2,MESA_AncilMesaRVFunction,PHASE 2: RV STROKE VOLUME (mL),NUMERIC,mL,,,phv00160684.v1,phs000209.v13
brstcn1,MESA_AirNRExamMain,BREAST CANCER,NUMERIC,,0=NO|1=YES|9=DO NOT KNOW,3,phv00082979.v1,phs000209.v13
istrd5c,MESA_AirNRExam5Main,INHALED STEROIDS FOR ASTHMA,NUMERIC,,0=NO|1=YES,2,phv00175368.v1,phs000209.v13
depress5,MESA_AirNRExam5Main,FELT DEPRESSED,NUMERIC,,1=RARELY OR NONE OF THE TIME|2=SOME OR LITTLE OF THE TIME|3=MODERATE AMOUNT OF TIME|4=MOST OF THE TIME,4,phv00175212.v1,phs000209.v13
splanx3c,MESA_Exam3Main,SPIELBERGER TRAIT ANXIETY SCALE,NUMERIC,,,,phv00086395.v2,phs000209.v13
eatans5,MESA_AirNRExam5Main,Q15C) EATING AND SLEEPING ARE BOTH... ? (SPECIFY),STRING,,,,phv00174694.v1,phs000209.v13
pamvcm5c,MESA_AirNRExam5Main,MODERATE AND VIGOROUS PHYSICAL ACTIVITY TOTAL (MET-MIN/WK M-SU),NUMERIC,MET-Min/Wk,,,phv00175583.v1,phs000209.v13
nexer5,MESA_AirNRExam5Main,OFTEN SEE OTHER PEOPLE EXERCISE IN NEIGHBORHOOD,NUMERIC,,1=STRONGLY AGREE|2=AGREE|3=NEUTRAL|4=DISAGREE|5=STRONGLY DISAGREE,5,phv00175203.v1,phs000209.v13
legpain5,MESA_AirNRExam5Main,PAIN IN LEG OR BUTTOCK WHILE WALKING,NUMERIC,,0=NO|1=YES,2,phv00175261.v1,phs000209.v13
addqaddsalt5,MESA_exam5dietnutrients,ADDED DIET QU : ADD TABLE SALT,NUMERIC,,0=DOES NOT EAT THE FOOD|1=SELDOM OR NEVER|2=SOMETIMES|3=OFTEN OR ALWAYS,4,phv00218716.v1,phs000209.v13
nhqveg5,MESA_AirNRExam5Main,FRESH FRUITS AND VEGETABLES IN NEIGHBORHOOD ARE OF HIGH QUALITY,NUMERIC,,1=STRONGLY AGREE|2=AGREE|3=NEUTRAL|4=DISAGREE|5=STRONGLY DISAGREE,5,phv00175196.v1,phs000209.v13
fgvdyellow5c,MESA_exam5dietnutrients,FOOD GROUP 23 : DARK YELLOW VEGETABLES,NUMERIC,,,,phv00218789.v1,phs000209.v13
lploc5,MESA_AirNRExam5Main,ON WHAT SIDE IS LEG PAIN PREDOMINANT,NUMERIC,,1=RIGHT SIDE|2=LEFT SIDE|3=BOTH LEGS,3,phv00175270.v1,phs000209.v13
gout5c,MESA_AirNRExam5Main,ANY GOUT MEDICATIONS,NUMERIC,,0=NO|1=YES,2,phv00175361.v1,phs000209.v13
fhxsex2,MESA_Exam2FamilyHx,SEX INDICATOR OF FAMILY MEMBER,NUMERIC,,-9=MISSING|0=FEMALE|1=MALE,3,phv00085754.v3,phs000209.v13
prcacgt01c,MESA_Exam1Main,"AGE, GENDER, RACE-ADJUSTED PROBABILITY OF A NON-ZERO CALCIUM SCORE (MCCLELLAND, CIRCULATION 2006)",NUMERIC,,,,phv00084543.v2,phs000209.v13
ageans5,MESA_AirNRExam5Main,Q3) HOW OLD ARE YOU? (PPT RESPONSE),NUMERIC,,,,phv00174654.v1,phs000209.v13
race_blacknh1,MESA_AncilMesaNeighborScalesExam1,% black non-hispanic,Numeric,,,,phv00218173.v1,phs000209.v13
educ_minhs2,MESA_AncilMesaNeighborScalesExam2,% 25+ with minimum High School education,Numeric,,,,phv00218202.v1,phs000209.v13
major7b5,MESA_AirNRExam5Main,COMPLETE (THIRD DEGREE) A-V BLOCK,STRING,,,,phv00175083.v1,phs000209.v13
nhhlde5,MESA_AirNRExam5Main,# ADULTS > 65 SUPPORTED BY FAMILY INCOME,NUMERIC,,,,phv00175449.v1,phs000209.v13
maritalf,MESA_FamilyExamMain,MARITAL STATUS,NUMERIC,,1=MARRIED/LIVING AS MARRIED|2=WIDOWED|3=DIVORCED|4=SEPARATED|5=NEVER MARRIED|6=PREFER NOT TO ANSWER,6,phv00087234.v1,phs000209.v13
empstat2,MESA_Exam2Main,HAS EMPLOYMENT STATUS CHANGED SINCE EXAM 1,NUMERIC,,0=NO|1=YES,2,phv00086084.v2,phs000209.v13
